erezaugtanẽpo	ere zaug tanẽpo
ibaʔeraɨmãʔẽ	i baʔeraɨ mãʔẽ
manasipo	ma na sipo
oeronan	oero nan
orereɲ	o rere ɲ
anũpãtar	a nũpã tar
poroiruwo	poro iru wo
eredʒuwedʒ	e redʒu we dʒ
ezo	e zo
tata	ta ta
pureruraʔɨr	pureru raʔɨr
tarawadʒam	tarawa dʒ am
nõdekuruo	nõde kuru o
nõdebaʔemãʔẽkotɨ	nõde baʔe mãʔẽ kotɨ
topaʔam	to paʔa m
tazar	ta zar
wãĩwĩkom	wãĩwĩ kom
baipuri	baipuri
kʷehe	kʷ ehe
nõdeʔaragatu	nõde ʔar a gatu
arasuka	a rasu ka
pewɨkəko	pe wɨkə ko
zoehe	zo ehe
nõderapɨdʒ	nõde rapɨdʒ
zadʒapɨakakom	za dʒapɨak akom
omõgaʔu	omõgaʔu
dereibawesipo	de reiba we sipo
pakupitaŋakom	paku pitaŋ akom
eʔira	e ʔi ra
perupi	pe rupi
porozikaharate	poro zika har ate
wɨrarehe	wɨra rehe
kɨwonẽ	kɨwo nẽ
ɨwɨ	ɨwɨ
kobtar	kob tar
sĩkãĩ	sĩkãĩ
manãto	ma nã to
kosokosog	kosoko so g
pɨa	pɨa
pitakom	pitakom
awurehe	awu rehe
baʔekomarehe	baʔekom arehe
zeburupa	zeburupa
oibao	o iba o
karaɨ	karaɨ
ʔɨ	ʔɨ
wareʔeteaʔu	ware ʔe teaʔu
seg	se g
pirakomarehe	pira kom arehe
wɨrakarakotɨ	wɨrakara kotɨ
oporahadʒ	oporahadʒ
deruɨar	de ru ɨar
rehe	rehe
amõenam	a mõ enam
ahotar	a hotar
dosuʔutarinam	do suʔu tari nam
ipuriweʔe	i puri we ʔe
ewurana	e wurana
zamãʔẽũwã	za mãʔẽ ũwã
kɨwo	kɨwo
renékotɨ	rené kotɨ
awarapɨdʒato	awa rapɨdʒ ato
sikãĩnũwã	sikãĩ nũwã
tãõwãpo	tãõwãpo
zozoga	zozoga
okʷa	o kʷa
nõdebaʔe	nõde baʔe
pir	pir
pureru	pureru
ekotɨ	e kotɨ
kopope	ko pope
akaʔa	akaʔa
ko	ko
zate	za te
oapararaha	o a pararaha
oeroʔar	oero ʔar
pinãngala	pinãngala
damãʔẽtaraɨdʒi	da mãʔẽtaraɨ dʒi
zawararehe	zawar arehe
ebɨgoŋ	e bɨg oŋ
baʔehar	baʔe har
ibaʔekom	i baʔe kom
zatarawadʒ	za tarawa dʒ
mamã	ma mã
sinamaripori	sinama ripori
kobnẽ	kob nẽ
owɨg	o wɨg
akʷaɲ	a kʷa ɲ
ebotenam	e bote nam
wɨrakaranũwã	wɨrakara nũwã
wɨɲakom	wɨɲa kom
ipoɨdjpɨlɨ	i poɨdj pɨlɨ
oituĩtun	o ituĩtun
okoar	o koar
sẽswawanakom	sẽswa wan akom
niwe	ni we
